id,name,category,description,flavor_notes,sweetness,coffee_type,caffeine,sugar_options,temp_options,price,size,is_best_seller,image,gofood_link,grabfood_link,shopeefood_link,taste_strength
1,Caramel Latte,kopi,Espresso dengan susu dan sirup caramel,nutty chocolaty,medium,arabica,tinggi,less / normal / extra,hot / iced,28000,16 oz,ya,img/caramel-latte.jpg,https://gofood.link/caramel-latte,https://grabfood.link/caramel-latte,https://shopeefood.link/caramel-latte,strong
2,Hazelnut Latte,kopi,Latte dengan sirup hazelnut,nutty sweet,medium,blend,sedang,less / normal / extra,hot / iced,27000,16 oz,tidak,img/hazelnut-latte.jpg,https://gofood.link/hazelnut-latte,https://grabfood.link/hazelnut-latte,https://shopeefood.link/hazelnut-latte,light
3,Americano,kopi,Espresso dengan air panas,bold roasty,low,robusta,tinggi,no sugar / less / normal,hot / iced,22000,12 oz,tidak,img/americano.jpg,https://gofood.link/americano,https://grabfood.link/americano,https://shopeefood.link/americano,strong
4,Vanilla Sweet Cream Cold Brew,kopi,Cold brew dengan vanilla sweet cream,creamy sweet,high,arabica,tinggi,normal / extra,iced,32000,16 oz,ya,img/vanilla-coldbrew.jpg,https://gofood.link/vanilla-coldbrew,https://grabfood.link/vanilla-coldbrew,https://shopeefood.link/vanilla-coldbrew,strong
5,Matcha Latte,matcha,Matcha premium dengan susu segar,earthy creamy,medium,non-coffee,rendah,less / normal,hot / iced,26000,16 oz,ya,img/matcha-latte.jpg,https://gofood.link/matcha-latte,https://grabfood.link/matcha-latte,https://shopeefood.link/matcha-latte,light
6,Strawberry Matcha,seasonal,Layer strawberry dengan matcha dan susu,fruity creamy,high,non-coffee,rendah,less / normal / extra,iced,30000,16 oz,tidak,img/strawberry-matcha.jpg,https://gofood.link/strawberry-matcha,https://grabfood.link/strawberry-matcha,https://shopeefood.link/strawberry-matcha,light
7,Chocolate Signature,coklat,Coklat premium dengan susu segar,chocolaty creamy,high,non-coffee,rendah,less / normal / extra,hot / iced,25000,16 oz,ya,img/chocolate-signature.jpg,https://gofood.link/chocolate-signature,https://grabfood.link/chocolate-signature,https://shopeefood.link/chocolate-signature,light
8,Lychee Tea,nonkopi,Teh lychee segar dengan potongan lychee,fruity refreshing,medium,non-coffee,rendah,less / normal,iced,20000,16 oz,tidak,img/lychee-tea.jpg,https://gofood.link/lychee-tea,https://grabfood.link/lychee-tea,https://shopeefood.link/lychee-tea,light
9,Salted Caramel Macchiato,kopi,Espresso dengan salted caramel dan susu,sweet salty,high,blend,sedang,normal / extra,hot / iced,33000,16 oz,ya,img/salted-caramel-macchiato.jpg,https://gofood.link/salted-caramel-macchiato,https://grabfood.link/salted-caramel-macchiato,https://shopeefood.link/salted-caramel-macchiato,strong
10,Cold Brew Orange,seasonal,Cold brew dengan jus jeruk segar,citrus refreshing,low,arabica,tinggi,no sugar / less,iced,29000,14 oz,tidak,img/coldbrew-orange.jpg,https://gofood.link/coldbrew-orange,https://grabfood.link/coldbrew-orange,https://shopeefood.link/coldbrew-orange,strong
