id;gambar;nama ;deskripsi ;kategori ;best seller ;level rasa ;iced/hot ;harga cup;harga botol 250ml ;harga botol 1L;;;;;;;;;;;
0;AMERICANO.png;americano ;Rasanya clean dengan pahit yang ringan dan tidak menusuk. Aftertaste-nya segar dan tidak berat di mulut. Cocok diminum saat butuh fokus atau ngerjain tugas.;coffee ;tidak ;strong;iced/hot ;10000;15000;60000;;;;;;;;;;;
1;orange americano.jpeg;americano orange ;Rasa kopi yang ringan berpadu dengan asam-segar jeruk. Sensasi citrus-nya cukup jelas dan bikin kopi terasa lebih fresh. Cocok diminum saat cuaca panas atau ingin minuman penyegar.;coffee ;tidak ;strong;iced;15000;17000;65000;;;;;;;;;;;
2;kopi aren.jpeg;kopi susu gula aren ;Rasa kopinya tetap terasa dengan manis gula aren yang natural. Teksturnya creamy tanpa rasa manis yang berlebihan. Cocok diminum untuk aktivitas harian atau waktu istirahat.;coffee ;iya;strong;iced;15000;17000;65000;;;;;;;;;;;
3;kopi pandan.jpeg;kopi susu pandan ;Kopi susu dengan manis lembut dan aroma pandan yang wangi. Rasa pandan muncul jelas di akhir tegukan. Cocok diminum saat ingin sesuatu yang manis dan calming.;coffee;tidak ;light;iced;15000;20000;70000;;;;;;;;;;;
4;kopi caramel.jpeg;kopi susu caramel ;Rasa caramel yang manis dan pekat membuat kopi susunya terasa lebih creamy. Aftertaste caramel-nya cukup panjang. Cocok diminum saat ingin minuman yang manis dan bikin mood naik.;coffee;tidak ;light;iced;15000;20000;70000;;;;;;;;;;;
5;butterscotch.jpeg;Butterscotch Sea Salt;Rasa butterscotch manis dengan tekstur creamy. Sentuhan asin memberikan keseimbangan pada manisnya. Cocok diminum saat santai sore atau setelah aktivitas.;signature ;iya;light;iced;23000;20000;70000;;;;;;;;;;;
6;butter tiramisu.jpeg;Butter Tiramisu Latte;Rasa tiramisu yang creamy dipadukan aroma kopi yang lembut. Manisnya seimbang tanpa terasa berat. Cocok diminum saat ngobrol atau mengerjakan pekerjaan ringan.;signature ;tidak ;light;iced;23000;;;;;;;;;;;;;
7;strawberry matcha.jpeg;Homemade Strawberry Matcha;Rasa matcha tetap terasa dengan tambahan strawberry manis-asam. Perpaduannya seimbang antara creamy dan fresh. Cocok diminum saat ingin minuman segar namun tetap lembut.;signature ;tidak ;light;iced;23000;;;;;;;;;;;;;
8;thai tea.jpeg;Thai Tea;Rasa teh yang kuat berpadu manis stabil. Teksturnya creamy dan cukup pekat. Cocok diminum saat nongkrong atau menemani cemilan;non coffee;iya;light;iced;15000;18000;68000;;;;;;;;;;;
9;chocolatte.jpeg;Cokelat ;Rasa cokelatnya tebal dengan tingkat manis yang pas. Teksturnya lembut dan mudah diminum. Cocok diminum saat membutuhkan comfort drink.;non coffee;iya;light;iced;15000;18000;68000;;;;;;;;;;;
10;matcha.jpeg;Matcha ;Rasa matcha medium dengan bitterness ringan. Susunya memberikan hasil yang creamy namun tetap seimbang. Cocok diminum saat ingin minuman yang menenangkan untuk fokus.;non coffee;iya;light;iced;15000;18000;68000;;;;;;;;;;;
